,City,Lat,Lng,Max Temp (°F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
0,Norman Wells,65.282,-126.8329,32.04,86,75,10.36,CA,2021-09-26 13:22:03
1,Thompson,55.7435,-97.8558,53.76,71,40,5.75,CA,2021-09-26 13:18:39
2,Hirara,24.8,125.2833,83.44,77,3,11.32,JP,2021-09-26 13:22:04
3,George Town,5.4112,100.3354,76.95,98,40,5.75,MY,2021-09-26 13:28:23
4,Cape Town,-33.9258,18.4232,64.27,72,0,1.99,ZA,2021-09-26 13:28:01
5,Vaini,-21.2,-175.2,68.16,94,75,3.44,TO,2021-09-26 13:28:23
6,Jamestown,42.097,-79.2353,67.32,29,1,17.27,US,2021-09-26 13:22:05
7,Mulchén,-37.7167,-72.2333,58.86,32,30,7.96,CL,2021-09-26 13:22:05
8,Rikitea,-23.1203,-134.9692,73.42,71,17,19.62,PF,2021-09-26 13:28:24
9,Panlaitan,12.1191,119.8486,81.59,80,64,1.12,PH,2021-09-26 13:28:24
10,Bratsk,56.1325,101.6142,25.29,77,49,4.97,RU,2021-09-26 13:27:15
11,Srīvardhan,18.0333,73.0167,79.11,84,100,4.94,IN,2021-09-26 13:28:25
12,Salalah,17.0151,54.0924,82.49,89,75,10.36,OM,2021-09-26 13:28:25
13,Pangnirtung,66.1451,-65.7125,35.6,69,20,3.44,CA,2021-09-26 13:28:25
14,Barrow,71.2906,-156.7887,24.82,80,90,6.91,US,2021-09-26 13:28:26
15,Bethel,41.3712,-73.414,71.73,57,40,1.99,US,2021-09-26 13:22:09
16,Fairbanks,64.8378,-147.7164,31.6,92,75,0.0,US,2021-09-26 13:22:09
17,Nouakchott,18.0858,-15.9785,84.13,70,97,9.95,MR,2021-09-26 13:17:42
18,Bluff,-46.6,168.3333,38.8,78,29,7.29,NZ,2021-09-26 13:22:09
19,Severobaykal'sk,55.65,109.3167,34.54,77,96,5.32,RU,2021-09-26 13:22:10
20,Hilo,19.7297,-155.09,75.79,94,90,3.44,US,2021-09-26 13:22:09
21,Ankang,32.68,109.0172,70.48,93,100,1.12,CN,2021-09-26 13:22:10
22,Mossamedes,-15.1961,12.1522,64.8,80,49,6.22,AO,2021-09-26 13:22:11
23,Grindavik,63.8424,-22.4338,44.55,81,90,25.32,IS,2021-09-26 13:22:11
24,Busselton,-33.65,115.3333,56.05,90,36,13.67,AU,2021-09-26 13:22:11
25,Yellowknife,62.456,-114.3525,39.42,98,75,5.01,CA,2021-09-26 13:18:39
26,Hermanus,-34.4187,19.2345,63.9,84,30,7.25,ZA,2021-09-26 13:22:12
27,Esperance,-33.8667,121.9,56.21,85,51,14.36,AU,2021-09-26 13:22:12
28,Punta Arenas,-53.15,-70.9167,44.11,48,59,9.19,CL,2021-09-26 13:22:13
29,Homer,59.6425,-151.5483,40.05,89,1,0.0,US,2021-09-26 13:22:13
30,De Aar,-30.6497,24.0123,76.73,9,8,6.53,ZA,2021-09-26 13:22:13
31,Albany,42.6001,-73.9662,68.18,52,35,1.01,US,2021-09-26 13:21:09
32,Vao,-22.6667,167.4833,67.8,66,96,5.06,NC,2021-09-26 13:22:14
33,Inuvik,68.3499,-133.7218,30.96,97,90,4.61,CA,2021-09-26 13:22:14
34,Castro,-24.7911,-50.0119,79.77,46,15,8.95,BR,2021-09-26 13:22:15
35,Broken Hill,-31.95,141.4333,49.46,37,48,7.56,AU,2021-09-26 13:22:15
36,Mataura,-46.1927,168.8643,38.48,98,9,2.37,NZ,2021-09-26 13:22:15
37,Ushuaia,-54.8,-68.3,46.06,46,40,9.22,AR,2021-09-26 13:21:31
38,Kapaa,22.0752,-159.319,77.32,83,75,4.0,US,2021-09-26 13:19:45
39,Banda Aceh,5.5577,95.3222,79.43,80,99,14.5,ID,2021-09-26 13:22:16
40,Umeå,63.8284,20.2597,48.9,100,0,5.75,SE,2021-09-26 13:22:16
41,Saskylakh,71.9167,114.0833,33.91,98,100,10.38,RU,2021-09-26 13:22:17
42,Boqueirão,-7.5,-36.1333,90.95,44,78,17.18,BR,2021-09-26 13:22:17
43,Goundam,16.4145,-3.6708,100.38,19,76,5.84,ML,2021-09-26 13:22:18
44,Severo-Kuril'sk,50.6789,156.125,48.27,93,82,10.96,RU,2021-09-26 13:22:18
45,Lompoc,34.6391,-120.4579,62.28,91,90,3.44,US,2021-09-26 13:22:18
46,Laas,46.6166,10.7002,60.71,96,100,3.15,IT,2021-09-26 13:22:19
47,Cabo San Lucas,22.8909,-109.9124,92.61,67,26,0.78,MX,2021-09-26 13:22:19
48,Mount Gambier,-37.8333,140.7667,42.51,85,93,6.06,AU,2021-09-26 13:19:28
49,Gijón,43.5357,-5.6615,71.26,73,100,3.0,ES,2021-09-26 13:22:19
50,Aswān,24.0934,32.907,92.5,22,0,8.05,EG,2021-09-26 13:22:20
51,Kahului,20.8947,-156.47,80.83,88,40,14.97,US,2021-09-26 13:20:22
52,Mokrousovo,55.8103,66.7653,39.15,58,84,17.87,RU,2021-09-26 13:23:20
53,Atambua,-9.1061,124.8925,71.74,86,61,4.34,ID,2021-09-26 13:23:21
54,Kharp,66.8014,65.8081,30.74,84,68,4.32,RU,2021-09-26 13:23:21
55,Oruzgan,32.8333,66.0,68.5,11,0,1.63,AF,2021-09-26 13:23:21
56,Lorengau,-2.0226,147.2712,80.26,83,67,6.38,PG,2021-09-26 13:23:22
57,Oranjestad,12.524,-70.027,91.35,62,75,18.41,AW,2021-09-26 13:19:55
58,Ambon City,-3.6954,128.1814,75.34,94,40,5.75,ID,2021-09-26 13:23:22
59,Kavieng,-2.5744,150.7967,80.96,80,100,8.68,PG,2021-09-26 13:23:23
60,Kalabo,-14.97,22.6814,79.27,11,0,2.73,ZM,2021-09-26 13:23:23
61,Réo,12.3167,-2.4667,95.72,29,2,6.6,BF,2021-09-26 13:29:31
62,Yulara,-25.2406,130.9889,71.44,17,40,3.44,AU,2021-09-26 13:29:31
63,Lavrentiya,65.5833,-171.0,29.93,78,99,7.25,RU,2021-09-26 13:29:32
64,Khatanga,71.9667,102.5,32.59,84,100,7.65,RU,2021-09-26 13:29:32
65,Cap Malheureux,-19.9842,57.6142,70.29,90,7,5.01,MU,2021-09-26 13:29:32
66,Butaritari,3.0707,172.7902,83.55,74,91,16.82,KI,2021-09-26 13:29:33
67,Vila Velha,-20.3297,-40.2925,80.55,65,0,19.57,BR,2021-09-26 13:26:35
